kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.688872,-73.944529
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.74308,-73.954736
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.869059,-73.87963
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.688872,-73.944529
#993333,#993333,#993333,#993333,40.586466,-73.816522
#993333,#993333,#993333,#993333,40.707047,-73.792612
#993333,#993333,#993333,#993333,40.745253,-73.870063
#993333,#993333,#993333,#993333,40.690081,-73.96056
#993333,#993333,#993333,#993333,40.745253,-73.870063
