dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
12.5,#00111a,#00111a,#00111a,#00111a,40.722246,-73.9534
9.243697,#00111a,#00111a,#00111a,#00111a,40.785978,-73.974201
4.819277,#00111a,#00111a,#00111a,#00111a,40.818378,-73.950325
12.87128,#00111a,#00111a,#00111a,#00111a,40.827297,-73.897371
14.28571,#00111a,#00111a,#00111a,#00111a,40.855509,-73.926263
11.7647,#00111a,#00111a,#00111a,#00111a,40.854456,-73.89718
0.0,#00111a,#00111a,#00111a,#00111a,40.757624,-73.983505
10.29411,#00111a,#00111a,#00111a,#00111a,40.870196,-73.896468
0.0,#00111a,#00111a,#00111a,#00111a,40.751245,-73.93747
3.064066,#00111a,#00111a,#00111a,#00111a,40.729973,-73.992705
10.0,#00111a,#00111a,#00111a,#00111a,40.633643,-73.917554
1.388888,#00111a,#00111a,#00111a,#00111a,40.705714,-73.752764
6.410256,#00111a,#00111a,#00111a,#00111a,40.732708,-73.982641
5.0,#00111a,#00111a,#00111a,#00111a,40.821738,-73.902656
3.76782,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
2.912621,#00111a,#00111a,#00111a,#00111a,40.593516,-73.936674
6.349206,#00111a,#00111a,#00111a,#00111a,40.66927,-73.97875
12.58278,#00111a,#00111a,#00111a,#00111a,40.62115,-73.981595
1.40845,#00111a,#00111a,#00111a,#00111a,40.711894,-73.939176
3.809523,#00111a,#00111a,#00111a,#00111a,40.815546,-73.930441
12.5,#00111a,#00111a,#00111a,#00111a,40.729705,-73.845094
0.0,#00111a,#00111a,#00111a,#00111a,40.742414,-74.002516
13.70967,#00111a,#00111a,#00111a,#00111a,40.76558,-73.959603
0.0,#00111a,#00111a,#00111a,#00111a,40.705714,-73.752764
13.75,#00111a,#00111a,#00111a,#00111a,40.647776,-73.921543
14.05867,#00111a,#00111a,#00111a,#00111a,40.66691,-73.895137
5.737704,#00111a,#00111a,#00111a,#00111a,40.813623,-73.926063
7.792207,#00111a,#00111a,#00111a,#00111a,40.684972,-73.883042
13.82488,#00111a,#00111a,#00111a,#00111a,40.708343,-73.80413
10.03811,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
3.947368,#00111a,#00111a,#00111a,#00111a,40.715539,-73.955142
2.678571,#00111a,#00111a,#00111a,#00111a,40.719387,-73.979781
0.8,#00111a,#00111a,#00111a,#00111a,40.718092,-73.976128
5.494505,#00111a,#00111a,#00111a,#00111a,40.875549,-73.861423
1.834862,#00111a,#00111a,#00111a,#00111a,40.797122,-73.966784
0.0,#00111a,#00111a,#00111a,#00111a,40.765148,-73.826567
14.75409,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
11.70568,#00111a,#00111a,#00111a,#00111a,40.669939,-73.874362
10.78431,#00111a,#00111a,#00111a,#00111a,40.704733,-74.011405
0.3316749,#00111a,#00111a,#00111a,#00111a,40.761336,-73.995727
1.234567,#00111a,#00111a,#00111a,#00111a,40.735539,-73.98745
0.0,#00111a,#00111a,#00111a,#00111a,40.705714,-73.752764
2.564102,#00111a,#00111a,#00111a,#00111a,40.818378,-73.950325
13.64485,#00111a,#00111a,#00111a,#00111a,40.766058,-73.960057
10.52631,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
10.75268,#00111a,#00111a,#00111a,#00111a,40.855509,-73.926263
