,index,schoolName,Category,Cohort,year,nrStudents,dropoutperc,lon,lat,district
163,3458,FRANK MCCOURT HS,All Students,4 year June,2012,77,0.0,-73.9542185,40.8026256,New York
164,3498,BEACON HS,All Students,4 year August,2012,363,0.0,-73.974201,40.785978,New York
165,3506,BEACON HS,All Students,4 year June,2012,363,0.0,-73.974201,40.785978,New York
166,3545,FIORELLO H LAGUARDIA HS OF MUSIC & ART AND PERFORM,All Students,4 year August,2012,660,0.3030303,-73.9957274348,40.7613364348,New York
167,3553,FIORELLO H LAGUARDIA HS OF MUSIC & ART AND PERFORM,All Students,4 year June,2012,660,0.3030303,-73.9957274348,40.7613364348,New York
168,3601,HS FOR LAW ADVOCACY AND COMMUNITY JUSTICE,All Students,4 year August,2012,106,10.37735,-73.8952523226,40.9386681406,New York
169,3609,HS FOR LAW ADVOCACY AND COMMUNITY JUSTICE,All Students,4 year June,2012,106,10.37735,-73.8952523226,40.9386681406,New York
170,3645,HS OF ARTS AND TECHNOLOGY,All Students,4 year August,2012,129,15.50387,-73.9856422935,40.77489495,New York
171,3653,HS OF ARTS AND TECHNOLOGY,All Students,4 year June,2012,129,15.50387,-73.9856422935,40.77489495,New York
172,3692,EDWARD A REYNOLDS WEST SIDE HS,All Students,4 year August,2012,165,14.54545,-73.9856422935,40.77489495,New York
173,3700,EDWARD A REYNOLDS WEST SIDE HS,All Students,4 year June,2012,165,14.54545,-73.9856422935,40.77489495,New York
174,3739,MANHATTAN  HUNTER SCIENCE HS,All Students,4 year August,2012,97,0.0,-73.9667842074,40.79712195,New York
175,3747,MANHATTAN  HUNTER SCIENCE HS,All Students,4 year June,2012,97,0.0,-73.9667842074,40.79712195,New York
176,3780,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Students,4 year August,2012,58,8.620689,-73.9856422935,40.77489495,New York
177,3788,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Students,4 year June,2012,58,8.620689,-73.9856422935,40.77489495,New York
178,3824,ESPERANZA PREPARATORY ACADEMY,All Students,4 year August,2012,70,4.285714,-73.9542185,40.8026256,New York
179,3827,ESPERANZA PREPARATORY ACADEMY,All Students,4 year June,2012,70,4.285714,-73.9542185,40.8026256,New York
180,3835,COALITION SCHOOL FOR SOCIAL CHANGE,All Students,4 year August,2012,75,28.0,-73.9416017,40.7922885,New York
181,3843,COALITION SCHOOL FOR SOCIAL CHANGE,All Students,4 year June,2012,75,28.0,-73.9416017,40.7922885,New York
182,3882,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,All Students,4 year August,2012,380,0.2631578,-73.9341824238,40.79930915,New York
183,3890,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,All Students,4 year June,2012,380,0.2631578,-73.9341824238,40.79930915,New York
184,3929,PARK EAST HS,All Students,4 year August,2012,93,3.225806,-73.9332013469,40.7948221429,New York
185,3937,PARK EAST HS,All Students,4 year June,2012,93,3.225806,-73.9332013469,40.7948221429,New York
186,3976,CENTRAL PARK EAST HS,All Students,4 year August,2012,104,0.9615384,-73.9440121628,40.79018675,New York
187,3984,CENTRAL PARK EAST HS,All Students,4 year June,2012,104,0.9615384,-73.9440121628,40.79018675,New York
188,4023,YOUNG WOMENS LEADERSHIP SCHOOL,All Students,4 year August,2012,71,0.0,-73.9484635194,40.7937647,New York
189,4031,YOUNG WOMENS LEADERSHIP SCHOOL,All Students,4 year June,2012,71,0.0,-73.9484635194,40.7937647,New York
190,4111,HERITAGE SCHOOL,All Students,4 year August,2012,84,14.28571,-73.9420182,40.785175,New York
191,4119,HERITAGE SCHOOL,All Students,4 year June,2012,84,14.28571,-73.9420182,40.785175,New York
192,4186,HARLEM RENAISSANCE HS,All Students,4 year August,2012,105,23.80952,-73.9341824238,40.79930915,New York
193,4194,HARLEM RENAISSANCE HS,All Students,4 year June,2012,105,23.80952,-73.9341824238,40.79930915,New York
194,4233,MOTT HALL HS,All Students,4 year August,2012,95,5.263157,-73.938611349,40.8069766,New York
195,4241,MOTT HALL HS,All Students,4 year June,2012,95,5.263157,-73.938611349,40.8069766,New York
196,4277,COLUMBIA SECONDARY SCHOOL,All Students,4 year August,2012,82,0.0,-73.9399400845,40.80775495,New York
197,4280,COLUMBIA SECONDARY SCHOOL,All Students,4 year June,2012,82,0.0,-73.9399400845,40.80775495,New York
198,4288,ACADEMY FOR SOCIAL ACTION,All Students,4 year August,2012,56,21.42857,-73.947082,40.8173228,New York
199,4294,ACADEMY FOR SOCIAL ACTION,All Students,4 year June,2012,56,21.42857,-73.947082,40.8173228,New York
200,4314,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,All Students,4 year August,2012,60,10.0,-73.956233,40.8107133,New York
201,4322,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,All Students,4 year June,2012,60,10.0,-73.956233,40.8107133,New York
202,4349,CHOIR ACADEMY OF HARLEM,All Students,4 year August,2012,31,16.12903,-73.9556649,40.8159758,New York
203,4357,CHOIR ACADEMY OF HARLEM,All Students,4 year June,2012,31,16.12903,-73.9556649,40.8159758,New York
204,4396,FREDERICK DOUGLASS ACADEMY,All Students,4 year August,2012,243,0.4115226,-73.9556649,40.8159758,New York
205,4404,FREDERICK DOUGLASS ACADEMY,All Students,4 year June,2012,243,0.4115226,-73.9556649,40.8159758,New York
206,4443,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,All Students,4 year August,2012,78,10.25641,-73.938611349,40.8069766,New York
207,4451,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,All Students,4 year June,2012,78,10.25641,-73.938611349,40.8069766,New York
208,4490,BREAD & ROSES INTEGRATED ARTS HS,All Students,4 year August,2012,33,39.39393,-73.9366892,40.8243845,New York
209,4498,BREAD & ROSES INTEGRATED ARTS HS,All Students,4 year June,2012,33,39.39393,-73.9366892,40.8243845,New York
210,4537,HS FOR MATHEMATICS SCIENCE AND ENGINEERING AT CITY,All Students,4 year August,2012,135,0.0,-73.9443156573,40.8152441,New York
211,4545,HS FOR MATHEMATICS SCIENCE AND ENGINEERING AT CITY,All Students,4 year June,2012,135,0.0,-73.9443156573,40.8152441,New York
212,4581,CITY COLLEGE ACADEMY OF THE ARTS,All Students,4 year August,2012,88,0.0,-73.9823968,40.7608683,New York
213,4587,CITY COLLEGE ACADEMY OF THE ARTS,All Students,4 year June,2012,88,0.0,-73.9823968,40.7608683,New York
214,4607,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,All Students,4 year August,2012,91,3.296703,-73.9490461998,40.82147395,New York
215,4613,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,All Students,4 year June,2012,91,3.296703,-73.9490461998,40.82147395,New York
216,4633,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,All Students,4 year August,2012,85,5.882352,-73.9300600752,40.86093735,New York
217,4638,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,All Students,4 year June,2012,85,5.882352,-73.9300600752,40.86093735,New York
