,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,Offense,Borough,lat,lon
16100,Wednesday,Feb,25,2015,2000,FELONY ASSAULT,Bronx,40.842328579,-73.885739479
6012,Saturday,Apr,25,2015,100,ROBBERY,Bronx,40.820986429,-73.892228964
46982,Wednesday,Feb,25,2015,1500,GRAND LARCENY,Bronx,40.867483777,-73.897403372
12248,Thursday,Sep,3,2015,2100,ROBBERY,Bronx,40.8361283,-73.894405262
13587,Friday,Feb,1,2013,800,FELONY ASSAULT,Bronx,40.889382736,-73.912961293
71308,Wednesday,Dec,31,2014,1000,GRAND LARCENY OF MOTOR VEHICLE,Bronx,40.825311774,-73.875543208
7684,Monday,Jun,1,2015,1400,ROBBERY,Bronx,40.817108447,-73.905071528
39969,Tuesday,May,6,2014,1800,GRAND LARCENY,Bronx,40.804891219,-73.922842608
21423,Saturday,Jun,6,2015,200,FELONY ASSAULT,Bronx,40.859817628,-73.90030368
47836,Friday,Mar,6,2015,300,GRAND LARCENY,Bronx,40.869058532,-73.879630148
42234,Tuesday,Jan,6,2015,1900,GRAND LARCENY,Bronx,40.833581209,-73.849848802
43683,Tuesday,Jan,20,2015,1900,GRAND LARCENY,Bronx,40.812161567,-73.926385298
38654,Tuesday,Sep,8,2015,1700,BURGLARY,Bronx,40.843239737,-73.888455809
26935,Monday,Aug,31,2015,1200,FELONY ASSAULT,Bronx,40.85590689,-73.897695962
4969,Monday,Mar,30,2015,1600,ROBBERY,Bronx,40.831139218,-73.915353777
53198,Sunday,Apr,26,2015,2200,GRAND LARCENY,Bronx,40.891989062,-73.907970217
26653,Thursday,Aug,27,2015,300,FELONY ASSAULT,Bronx,40.848019724,-73.884352587
1638,Monday,Jan,5,2015,2200,ROBBERY,Bronx,40.852089995,-73.898818776
19573,Monday,May,4,2015,1400,FELONY ASSAULT,Bronx,40.836281924,-73.917923904
13794,Friday,Jan,2,2015,400,FELONY ASSAULT,Bronx,40.841886645,-73.917953131
35793,Sunday,Jul,5,2015,2200,BURGLARY,Bronx,40.87446337,-73.885546855
28999,Wednesday,Jan,7,2015,0,BURGLARY,Bronx,40.85308436,-73.885005281
35202,Sunday,Jun,21,2015,1100,BURGLARY,Bronx,40.829567257,-73.912692645
28035,Saturday,Sep,19,2015,1500,FELONY ASSAULT,Bronx,40.81589916,-73.917230106
33701,Friday,May,15,2015,1700,BURGLARY,Bronx,40.806119985,-73.856091237
13621,Saturday,Aug,2,2014,400,FELONY ASSAULT,Bronx,40.8451231,-73.922564627
25840,Saturday,Aug,15,2015,700,FELONY ASSAULT,Bronx,40.84711223,-73.91747681
42055,Monday,Jan,5,2015,1000,GRAND LARCENY,Bronx,40.834516921,-73.917709256
